ano,estado,municipio,cve_inegi,id_estado,id_municipio,id_niveleducativo,id_sostenimiento_educ,alumnos_total,alumnos_hombres,alumnos_mujeres,egresados_total,egresados_hombres,egresados_mujeres,docentes_total,docentes_hombres,docentes_mujeres,aulas_existen,aulas_uso,aulas_adaptadas,talleres,laboratorios,escuelas,niveleducativo,sostenimiento_educ
1990,Aguascalientes,Total del estado Aguascalientes,1000,1,0,1,1,26028,12979,13049,0,0,0,934,0,0,967,888,0,0,0,342,Preescolar,Publico
1990,Aguascalientes,Total del estado Aguascalientes,1000,1,0,2,1,114929,58939,55990,0,0,0,3652,0,0,4122,3666,0,0,0,544,Primaria,Publico
1990,Aguascalientes,Total del estado Aguascalientes,1000,1,0,3,1,32503,16462,16041,0,0,0,2036,0,0,1033,970,0,0,0,128,Secundaria,Publico
1990,Aguascalientes,Total del estado Aguascalientes,1000,1,0,4,1,2338,421,1917,0,0,0,87,0,0,69,50,0,0,0,10,Capacitacion para el Trabajo,Publico
1990,Aguascalientes,Total del estado Aguascalientes,1000,1,0,5,1,9223,4734,4489,0,0,0,608,0,0,250,223,0,0,0,20,Bachillerato,Publico
1990,Aguascalientes,Total del estado Aguascalientes,1000,1,0,6,1,2663,1373,1290,0,0,0,325,0,0,189,65,0,0,0,10,Profesional Medio,Publico
1990,Aguascalientes,Total del estado Aguascalientes,1000,1,0,8,1,2235,757,1478,0,0,0,227,0,0,85,86,0,0,0,9,Normal,Publico
1990,Aguascalientes,Total del estado Aguascalientes,1000,1,0,1,2,584,313,271,0,0,0,32,0,0,42,38,0,0,0,12,Preescolar,Privado
1990,Aguascalientes,Total del estado Aguascalientes,1000,1,0,2,2,11329,5403,5926,0,0,0,315,0,0,351,318,0,0,0,36,Primaria,Privado
1990,Aguascalientes,Total del estado Aguascalientes,1000,1,0,3,2,3557,1559,1998,0,0,0,288,0,0,141,97,0,0,0,24,Secundaria,Privado
1990,Aguascalientes,Total del estado Aguascalientes,1000,1,0,4,2,5636,1026,4610,0,0,0,327,0,0,241,201,0,0,0,45,Capacitacion para el Trabajo,Privado
1990,Aguascalientes,Total del estado Aguascalientes,1000,1,0,5,2,5436,2864,2572,0,0,0,476,0,0,232,151,0,0,0,27,Bachillerato,Privado
1990,Aguascalientes,Total del estado Aguascalientes,1000,1,0,8,2,41,0,41,0,0,0,18,0,0,12,4,0,0,0,1,Normal,Privado
1990,Aguascalientes,Aguascalientes,1001,1,1,1,1,17313,8684,8629,0,0,0,580,0,0,626,564,0,0,0,159,Preescolar,Publico
1990,Aguascalientes,Aguascalientes,1001,1,1,2,1,75481,38890,36591,0,0,0,2296,0,0,2595,2319,0,0,0,289,Primaria,Publico
1990,Aguascalientes,Aguascalientes,1001,1,1,3,1,24096,12154,11942,0,0,0,1491,0,0,716,678,0,0,0,71,Secundaria,Publico
1990,Aguascalientes,Aguascalientes,1001,1,1,4,1,1696,418,1278,0,0,0,70,0,0,51,36,0,0,0,8,Capacitacion para el Trabajo,Publico
1990,Aguascalientes,Aguascalientes,1001,1,1,5,1,7490,3746,3744,0,0,0,507,0,0,184,164,0,0,0,14,Bachillerato,Publico
1990,Aguascalientes,Aguascalientes,1001,1,1,6,1,2426,1140,1286,0,0,0,292,0,0,175,56,0,0,0,8,Profesional Medio,Publico
1990,Aguascalientes,Aguascalientes,1001,1,1,8,1,1975,576,1399,0,0,0,201,0,0,80,81,0,0,0,8,Normal,Publico
1990,Aguascalientes,Aguascalientes,1001,1,1,1,2,584,313,271,0,0,0,32,0,0,42,38,0,0,0,12,Preescolar,Privado
1990,Aguascalientes,Aguascalientes,1001,1,1,2,2,8581,4055,4526,0,0,0,242,0,0,270,245,0,0,0,28,Primaria,Privado
1990,Aguascalientes,Aguascalientes,1001,1,1,3,2,3043,1392,1651,0,0,0,244,0,0,128,84,0,0,0,21,Secundaria,Privado
1990,Aguascalientes,Aguascalientes,1001,1,1,4,2,5393,1005,4388,0,0,0,307,0,0,231,191,0,0,0,42,Capacitacion para el Trabajo,Privado
1990,Aguascalientes,Aguascalientes,1001,1,1,5,2,4903,2614,2289,0,0,0,403,0,0,193,130,0,0,0,21,Bachillerato,Privado
1990,Aguascalientes,Aguascalientes,1001,1,1,8,2,41,0,41,0,0,0,18,0,0,12,4,0,0,0,1,Normal,Privado
1990,Aguascalientes,Asientos,1002,1,2,1,1,1332,659,673,0,0,0,65,0,0,55,52,0,0,0,44,Preescolar,Publico
1990,Aguascalientes,Asientos,1002,1,2,2,1,6326,3229,3097,0,0,0,238,0,0,245,232,0,0,0,50,Primaria,Publico
