Clave de la Entidad,Entidad Federativa,Clave del Municipio,Municipio,"Población 
Censo del 2010",Grado de Rezago Social 2010,indice de rezago social,lugar que ocupa en el contexto nacional,Subíndice de capacidad financiera,Subíndice de cobertura en la prestación de servicios públicos,Subíndice de desarrollo administrativo,Subíndice de transparencia y rendición de cuentas,Índice de Desarrollo Institucional Municipal,Capacidad financiera,Cobertura en la prestación de servicios públicos,Desarrollo administrativo,Transparencia y rendición de cuentas,Desarrollo Institucional Municipal,Lugar que ocupa en el contexto nacional
1,Aguascalientes,1001,Aguascalientes,"797,010",Muy bajo,-1.5585,2415,0.7043,0.9474,0.5683,1,0.7455, Muy Alto , Muy Alto , Alto , Muy Alto ,Muy Alto,12
1,Aguascalientes,1002,Asientos,"45,492",Muy bajo,-1.0145,2074,0.2387,0.8652,0.5382,0.6528,0.5353, Medio , Alto , Alto , Alto ,Alto,482
1,Aguascalientes,1003,Calvillo,"54,136",Muy bajo,-1.1019,2145,0.384,0.9263,0.5646,0.7875,0.6183, Alto , Muy Alto , Alto , Muy Alto ,Muy Alto,138
1,Aguascalientes,1004,Cosío,"15,042",Muy bajo,-1.1331,2172,0.2852,0.9,0.4867,0.6667,0.5343, Medio , Alto , Medio-Alto , Alto ,Alto,491
1,Aguascalientes,1005,Jesús María,"99,590",Muy bajo,-1.2965,2288,0.495,1,0.6275,0.8819,0.7011, Muy Alto , Muy Alto , Muy Alto , Muy Alto ,Muy Alto,30
1,Aguascalientes,1006,Pabellón de Arteaga,"41,862",Muy bajo,-1.3439,2315,0.1585,1,0.4814,0.7,0.5222, Bajo , Muy Alto , Medio-Alto , Alto ,Alto,559
1,Aguascalientes,1007,Rincón de Romos,"49,156",Muy bajo,-1.2552,2260,0.3396,1,0.6547,0.8056,0.6579, Medio-Alto , Muy Alto , Muy Alto , Muy Alto ,Muy Alto,60
1,Aguascalientes,1008,San José de Gracia,"8,443",Muy bajo,-1.0973,2142,0.3049,0.8899,0.4422,0.625,0.5116, Medio-Alto , Alto , Medio-Alto , Alto ,Medio-Alto,620
1,Aguascalientes,1009,Tepezalá,"19,668",Muy bajo,-1.0372,2091,0.3174,0.9295,0.4044,0.8194,0.5444, Medio-Alto , Muy Alto , Medio , Muy Alto ,Alto,430
1,Aguascalientes,1010,El Llano,"18,828",Muy bajo,-0.8854,1943,0.3114,0.7903,0.5292,1,0.6081, Medio-Alto , Medio-Alto , Alto , Muy Alto ,Muy Alto,160
1,Aguascalientes,1011,San Francisco de los Romo,"35,769",Muy bajo,-1.3023,2293,0.2994,0.7737,0.4282,0.9722,0.5566, Medio-Alto , Medio-Alto , Medio , Muy Alto ,Alto,368
2,Baja California,2001,Ensenada,"466,814",Muy bajo,-1.0618,2115,0.499,0.9055,0.4821,0.7139,0.5962, Muy Alto , Alto , Medio-Alto , Alto ,Muy Alto,201
2,Baja California,2002,Mexicali,"936,826",Muy bajo,-1.5479,2413,0.5135,0.9525,0.6005,1,0.7115, Muy Alto , Muy Alto , Alto , Muy Alto ,Muy Alto,25
2,Baja California,2003,Tecate,"101,079",Muy bajo,-1.2335,2242,0.3493,0.9659,0.519,0.6944,0.5787, Medio-Alto , Muy Alto , Alto , Alto ,Alto,261
2,Baja California,2004,Tijuana,"1,559,683",Muy bajo,-1.3456,2316,0.651,0.9053,0.7796,0.8333,0.777, Muy Alto , Alto , Muy Alto , Muy Alto ,Muy Alto,7
2,Baja California,2005,Playas de Rosarito,"90,668",Muy bajo,-1.094,2140,0.6065,0.9527,0.5504,0.7153,0.6578, Muy Alto , Muy Alto , Alto , Alto ,Muy Alto,61
3,Baja California Sur,3001,Comondú,"70,816",Muy bajo,-1.0393,2094,0.1701,0.9658,0.2934,0.4764,0.4, Bajo , Muy Alto , Bajo , Medio-Alto ,Medio,"1,535"
3,Baja California Sur,3002,Mulegé,"59,114",Muy bajo,-0.7908,1838,0.3471,0.4653,0.4,0.1778,0.3521, Medio-Alto , Muy Bajo , Medio , Muy Bajo ,Bajo,"1,888"
