"ID_ESTADO","NOMBRE_ESTADO","ID_MUNICIPIO","MUNICIPIO","MEADE","ANAYA","AMLO","MARGARITA","BRONCO","NUM_VOTOS_CAN_NREG","NUM_VOTOS_NULOS","GANADOR"
28,"TAMAULIPAS",33,"RIO BRAVO-TAM",8509,15212,30282,12,4198,14,1415,"AMLO"
7,"CHIAPAS",116,"MONTECRISTO DE GUERRERO-CAM",368,354,826,13,48,0,176,"AMLO"
20,"OAXACA",204,"SAN JUAN LACHIGALLA-OAX",152,324,780,0,23,0,38,"AMLO"
11,"GUANAJUATO",28,"SALVATIERRA-GTO",7132,15128,17927,47,3150,53,1474,"AMLO"
20,"OAXACA",24,"COSOLAPA-OAX",1918,530,4443,6,86,0,256,"AMLO"
30,"VERACRUZ",2,"ACATLAN-VER",130,972,764,1,47,0,38,"ANAYA"
20,"OAXACA",211,"SAN JUAN OZOLOTEPEC-OAX",108,105,834,0,1,0,57,"AMLO"
21,"PUEBLA",123,"SAN FELIPE TEOTLALCINGO-PUE",725,765,2573,0,177,2,127,"AMLO"
24,"SAN LUIS POTOSÍ",47,"VILLA DE ARRIAGA-SLP",4013,2270,2758,0,349,0,413,"MEADE"
31,"YUCATÁN",63,"SAMAHIL-YUC",1053,1163,1175,0,67,0,92,"AMLO"
28,"TAMAULIPAS",19,"LLERA-TAM",913,3781,4319,8,388,2,484,"AMLO"
32,"ZACATECAS",19,"JALPA-ZAC",2452,3680,5083,7,546,2,694,"AMLO"
24,"SAN LUIS POTOSÍ",36,"TAMASOPO-SLP",3551,2896,6368,3,755,6,1039,"AMLO"
17,"MORELOS",18,"TEMIXCO-MOR",6115,8746,31805,13,3685,26,1645,"AMLO"
26,"SONORA",41,"TEPACHE-SON",261,293,302,0,20,0,29,"AMLO"
24,"SAN LUIS POTOSÍ",25,"SALINAS-SLP",5463,2674,4087,1,665,2,584,"MEADE"
21,"PUEBLA",172,"TETELES DE AVILA CASTILLO-PUE",383,503,2271,0,143,0,108,"AMLO"
21,"PUEBLA",90,"JONOTLA-PUE",1289,322,812,2,22,1,125,"MEADE"
15,"MÉXICO",109,"TULTEPEC-MEX",10111,15444,47179,5,4095,20,1554,"AMLO"
11,"GUANAJUATO",24,"PUEBLO NUEVO-GTO",2505,2284,1798,9,418,0,255,"MEADE"
20,"OAXACA",359,"SANTA ANA YARENI-OAX",42,50,204,0,2,0,18,"AMLO"
20,"OAXACA",234,"SAN LUCAS ZOQUIAPAM-OAX",782,601,1186,0,9,1,197,"AMLO"
21,"PUEBLA",30,"CAXHUACAN-PUE",678,293,1128,0,14,0,142,"AMLO"
17,"MORELOS",1,"AMACUZAC-MOR",883,651,6013,0,336,0,268,"AMLO"
29,"TLAXCALA",38,"TZOMPANTEPEC-TLX",867,839,4828,5,391,3,120,"AMLO"
16,"MICHOACÁN",31,"EPITACIO HUERTA-MIC",1916,1599,3580,0,418,0,374,"AMLO"
7,"CHIAPAS",31,"CHILON-CAM",17195,1587,26352,22,246,4,2218,"AMLO"
13,"HIDALGO",62,"TEPEHUACAN DE GUERRERO-HGO",5790,1776,4800,2,115,1,668,"MEADE"
13,"HIDALGO",51,"SAN AGUSTIN TLAXIACA-HGO",3222,1710,9984,0,695,4,352,"AMLO"
7,"CHIAPAS",73,"REFORMA-CAM",2069,656,18315,5,210,5,831,"AMLO"
16,"MICHOACÁN",56,"MUGICA-MIC",4726,1610,10921,2,317,0,770,"AMLO"
21,"PUEBLA",3,"ACATLAN-PUE",2987,1919,12085,4,285,3,683,"AMLO"
20,"OAXACA",121,"SAN BLAS ATEMPA-OAX",2304,690,7661,0,72,0,228,"AMLO"
27,"TABASCO",7,"EMILIANO ZAPATA-TAB",1723,1345,13505,24,94,18,639,"AMLO"
24,"SAN LUIS POTOSÍ",3,"AQUISMON-SLP",7970,9602,5149,0,330,0,1332,"ANAYA"
19,"NUEVO LEÓN",13,"CHINA-NLE",1545,1387,1785,1,1179,0,291,"AMLO"
7,"CHIAPAS",50,"LA LIBERTAD-CAM",239,443,2430,13,95,0,377,"AMLO"
20,"OAXACA",471,"SANTIAGO LACHIGUIRI-OAX",562,95,992,3,10,0,92,"AMLO"
28,"TAMAULIPAS",35,"SAN FERNANDO-TAM",5704,9538,10147,18,735,5,790,"AMLO"
25,"SINALOA",5,"COSALA-SIN",2861,2312,2542,1,59,0,335,"MEADE"
12,"GUERRERO",49,"PETATLAN-GRO",3220,2469,12720,11,194,6,906,"AMLO"
8,"CHIHUAHUA",36,"JIMENEZ-COA",4578,3670,7666,4,1506,7,689,"AMLO"
30,"VERACRUZ",67,"EMILIANO ZAPATA-VER",3186,8173,18291,8,1483,5,596,"AMLO"
30,"VERACRUZ",61,"CHINAMECA-VER",1088,1465,5840,3,130,0,195,"AMLO"
20,"OAXACA",541,"TANETZE DE ZARAGOZA-OAX",71,30,480,0,0,0,26,"AMLO"
17,"MORELOS",3,"AXOCHIAPAN-MOR",1247,1881,13783,17,608,5,540,"AMLO"
18,"NAYARIT",2,"AHUACATLAN-NAY",1018,1346,4177,8,71,0,185,"AMLO"
14,"JALISCO",39,"EL GRULLO-JAL",1460,2296,5441,12,526,7,373,"AMLO"
20,"OAXACA",570,"ZIMATLAN DE ALVAREZ-OAX",1211,2191,7777,4,306,6,454,"AMLO"
20,"OAXACA",75,"ROJAS DE CUAUHTEMOC-OAX",86,52,414,0,46,0,9,"AMLO"
12,"GUERRERO",57,"TECOANAPA-GRO",4035,4456,11808,16,79,1,1150,"AMLO"
30,"VERACRUZ",58,"CHICONAMEL-VER",544,1321,1294,1,21,0,125,"ANAYA"
20,"OAXACA",231,"SAN LUCAS CAMOTLAN-OAX",156,67,256,1,1,15,29,"AMLO"
24,"SAN LUIS POTOSÍ",49,"VILLA DE LA PAZ-SLP",741,644,1139,0,174,0,97,"AMLO"
21,"PUEBLA",160,"TEPANCO DE LOPEZ-PUE",1674,1277,7531,4,294,3,546,"AMLO"
19,"NUEVO LEÓN",14,"DR. ARROYO-NLE",8817,5715,4209,5,1601,1,822,"MEADE"
24,"SAN LUIS POTOSÍ",11,"CIUDAD FERNANDEZ-SLP",4484,5391,10138,16,1365,4,831,"AMLO"
11,"GUANAJUATO",15,"GUANAJUATO-GTO",12765,23583,24460,11,7821,61,2027,"AMLO"
14,"JALISCO",71,"QUITUPAN-JAL",1617,1714,1202,0,63,0,216,"ANAYA"
21,"PUEBLA",216,"ZOQUIAPAN-PUE",516,271,538,0,10,0,98,"AMLO"
30,"VERACRUZ",27,"BANDERILLA-VER",963,3300,7364,6,785,8,225,"AMLO"
14,"JALISCO",19,"BOLAÑOS-JAL",382,644,588,0,38,0,51,"ANAYA"
20,"OAXACA",381,"SANTA CRUZ PAPALUTLA-OAX",137,60,603,0,17,0,14,"AMLO"
7,"CHIAPAS",100,"TUMBALA-CAM",3476,1180,11094,192,690,4,1964,"AMLO"
18,"NAYARIT",7,"IXTLAN DEL RIO-NAY",1252,2632,7356,15,342,3,375,"AMLO"
