ano,estado,municipio,cve_inegi,id_estado,id_municipio,pea,pea_h,pea_m,pei,pei_h,pei_m,pea_ocupada,pea_ocupada_h,pea_ocupada_m,pea_desocupada,pea_desocupada_h,pea_desocupada_m,tpe,tpe_h,tpe_m
2010,Estados Unidos Mexicanos,Total Nacional,0,0,0,44701044,30045138,14655906,39657833,10551884,29105949,42669675,28447257,14222418,2031369,1597881,433488,52.63,73.37,33.32
2010,Aguascalientes,Total del estado Aguascalientes,1000,1,0,475207,307381,167826,401248,111981,289267,443826,282532,161294,31381,24849,6532,54.02,72.97,36.61
2010,Aguascalientes,Aguascalientes,1001,1,1,336974,209610,127364,263800,76764,187036,315954,193840,122114,21020,15770,5250,55.91,72.92,40.4
2010,Aguascalientes,Asientos,1002,1,2,14319,11231,3088,17800,4410,13390,13232,10271,2961,1087,960,127,44.3,71.13,18.68
2010,Aguascalientes,Calvillo,1003,1,3,19310,13724,5586,20397,5127,15270,17436,12015,5421,1874,1709,165,48.4,72.25,26.72
2010,Aguascalientes,Cosio,1004,1,4,4819,3678,1141,5922,1489,4433,4408,3333,1075,411,345,66,44.62,70.69,20.38
2010,Aguascalientes,Jesus Maria,1005,1,5,39315,26034,13281,30393,7823,22570,37379,24398,12981,1936,1636,300,56.19,76.55,36.93
2010,Aguascalientes,Pabellon de Arteaga,1006,1,6,14892,10175,4717,15155,4119,11036,13646,9113,4533,1246,1062,184,49.36,70.87,29.83
2010,Aguascalientes,Rincon de Romos,1007,1,7,17249,12125,5124,17884,4791,13093,15653,10721,4932,1596,1404,192,48.87,71.29,28.02
2010,Aguascalientes,San Jose de Gracia,1008,1,8,2863,2061,802,3160,783,2377,2443,1686,757,420,375,45,47.16,71.84,25.05
2010,Aguascalientes,Tepezala,1009,1,9,6413,4974,1439,7585,1740,5845,5752,4355,1397,661,619,42,45.59,73.58,19.69
2010,Aguascalientes,El Llano,1010,1,10,5849,4506,1343,7722,2282,5440,5462,4157,1305,387,349,38,42.86,65.91,19.72
2010,Aguascalientes,San Francisco de los Romo,1011,1,11,13204,9263,3941,11430,2653,8777,12461,8643,3818,743,620,123,53.41,77.42,30.89
2010,Baja California,Total del estado Baja California,2000,2,0,1387389,882740,504649,976388,297452,678936,1320018,830224,489794,67371,52516,14855,57.89,73.19,42.39
2010,Baja California,Ensenada,2001,2,1,206680,129927,76753,146448,46209,100239,198846,124057,74789,7834,5870,1964,57.8,72.28,43.17
2010,Baja California,Mexicali,2002,2,2,404701,259248,145453,298456,93005,205451,386368,245040,141328,18333,14208,4125,56.85,72.3,41.17
2010,Baja California,Tecate,2003,2,3,41575,27152,14423,31132,9685,21447,39407,25402,14005,2168,1750,418,53.88,66.02,40.02
2010,Baja California,Tijuana,2004,2,4,696907,441347,255560,472140,140067,332073,659963,412377,247586,36944,28970,7974,58.88,74.46,43.25
2010,Baja California,Playas de Rosarito,2005,2,5,37526,25066,12460,28212,8486,19726,35434,23348,12086,2092,1718,374,56.42,73.78,38.3
